Date(UTC),Pair,Side,Price,Executed,Amount,Fee
28/11/2020 00:41,XLMUSDT,BUY,0.21711,80.9000000000XLM,17.56419900USDT,0.0809000000XLM
28/11/2020 00:44,XLMUSDT,SELL,0.21727,657.2000000000XLM,142.78984400USDT,0.1427898400USDT
28/11/2020 00:46,XLMUSDT,BUY,0.21793,661.2000000000XLM,144.09531600USDT,0.6612000000XLM
28/11/2020 01:02,XLMUSDT,SELL,0.21471,660.6000000000XLM,141.83742600USDT,0.1418374300USDT
28/11/2020 01:09,XLMUSDT,BUY,0.21549,649.8000000000XLM,140.02540200USDT,0.6498000000XLM
28/11/2020 01:09,XLMUSDT,BUY,0.21535,8.0000000000XLM,1.72280000USDT,0.0080000000XLM
28/11/2020 01:31,XLMUSDT,SELL,0.21441,328.6000000000XLM,70.45512600USDT,0.0704551300USDT
30/11/2020 08:16,BTCUSDT,BUY,"18,478.47",0.0037050000BTC,68.46273135USDT,0.0000037100BTC
01/12/2020 14:56,BTCUSDT,SELL,"19,258.29",0.0144350000BTC,277.99341615USDT,0.2779934200USDT
01/12/2020 15:04,BTCUSDT,BUY,"19,378.60",0.0006450000BTC,12.49919700USDT,0.0000006500BTC
01/12/2020 15:04,BTCUSDT,BUY,"19,359.00",0.0138140000BTC,267.42522600USDT,0.0000138100BTC
03/12/2020 11:00,BTCUSDT,SELL,"19,394.69",0.0144440000BTC,280.13690236USDT,0.2801369000USDT
03/12/2020 12:23,EURUSDT,SELL,1.2092,"1,004.0700000000EUR","1,214.12144400USDT",1.2141214400USDT
03/12/2020 19:15,XLMUSDT,BUY,0.18439,407.1000000000XLM,75.06516900USDT,0.4071000000XLM
04/12/2020 12:42,CRVUSDT,BUY,0.745,286.1060000000CRV,213.14897000USDT,0.2861060000CRV
16/12/2020 22:47,XLMUSDT,BUY,0.18467,392.2000000000XLM,72.42757400USDT,0.3922000000XLM
16/12/2020 22:48,THETAUSDT,BUY,0.83868,111.8000000000THETA,93.76442400USDT,0.1118000000THETA
16/12/2020 22:48,THETAUSDT,BUY,0.83864,160.0000000000THETA,134.18240000USDT,0.1600000000THETA
16/12/2020 22:48,THETAUSDT,BUY,0.83782,55.6000000000THETA,46.58279200USDT,0.0556000000THETA
16/12/2020 22:48,THETAUSDT,BUY,0.83778,160.0000000000THETA,134.04480000USDT,0.1600000000THETA
16/12/2020 22:49,BTCUSDT,BUY,"21,348.56",0.0047660000BTC,101.74723696USDT,0.0000047700BTC
16/12/2020 22:50,BTCUSDT,BUY,"21,334.82",0.0035120000BTC,74.92788784USDT,0.0000035100BTC
17/12/2020 09:52,BTCUSDT,SELL,"22,432.97",0.0041350000BTC,92.76033095USDT,0.0927603300USDT
17/12/2020 10:44,THETAUSDT,SELL,0.88152,233.5000000000THETA,205.83492000USDT,0.2058349200USDT
17/12/2020 10:44,THETAUSDT,SELL,0.88166,70.9000000000THETA,62.50969400USDT,0.0625096900USDT
17/12/2020 10:44,THETAUSDT,SELL,0.88153,183.3000000000THETA,161.58444900USDT,0.1615844500USDT
17/12/2020 10:59,BTCUSDT,BUY,"22,622.50",0.0236730000BTC,535.54244250USDT,0.0000236700BTC
17/12/2020 18:49,BTCUSDT,SELL,"23,050.76",0.0066680000BTC,153.70246768USDT,0.1537024700USDT
17/12/2020 18:51,XMRUSDT,BUY,156.33,0.8681900000XMR,135.72414270USDT,0.0008681900XMR
18/12/2020 11:22,PPTBTC,BUY,0.00002468,56.0000000000PPT,0.00138208BTC,0.0560000000PPT
18/12/2020 11:22,PPTBTC,BUY,0.00002465,17.0000000000PPT,0.00041905BTC,0.0170000000PPT
18/12/2020 11:22,PPTBTC,BUY,0.00002474,47.0000000000PPT,0.00116278BTC,0.0470000000PPT
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.2890000000DCR,10.58635900USDT,0.0002890000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
